x,y,theta,v,phi,a,omega,jerk
82.6345,37.8569,3.14159,1,0,0,0,1.48475
82.5849,37.8568,3.14105,1.00013,-0.000145235,0.0736977,-0.130771,1.42154
82.5353,37.8568,3.14051,1.00391,-0.00675503,0.144258,-0.117981,1.3594
82.4856,37.8568,3.13983,1.01118,-0.0127184,0.211734,-0.10571,1.29835
82.4354,37.8568,3.13901,1.0218,-0.0180615,0.27618,-0.0940363,1.23844
82.3848,37.8568,3.13809,1.0356,-0.0228146,0.337651,-0.082928,1.17966
82.3334,37.8569,3.13707,1.05244,-0.0270062,0.396206,-0.0723592,1.12204
82.2813,37.8571,3.13596,1.07219,-0.0306636,0.4519,-0.0623095,1.06557
82.2281,37.8573,3.13476,1.09469,-0.033813,0.504791,-0.0527633,1.01027
82.1738,37.8576,3.13349,1.11981,-0.0364799,0.554937,-0.0437093,0.95612
82.1183,37.858,3.13215,1.14741,-0.0386892,0.602396,-0.0351394,0.903126
82.0615,37.8585,3.13074,1.17735,-0.0404653,0.647224,-0.0270486,0.851277
82.0031,37.859,3.12928,1.20952,-0.0418325,0.689478,-0.0194337,0.800562
81.9431,37.8597,3.12777,1.24378,-0.0428148,0.729215,-0.0122932,0.75097
81.8815,37.8605,3.12622,1.28,-0.0434361,0.766491,-0.00562652,0.70249
81.8181,37.8614,3.12463,1.31807,-0.0437205,0.80136,0.000566518,0.655107
81.7527,37.8624,3.12301,1.35786,-0.0436919,0.833877,0.00628618,0.608809
81.6854,37.8636,3.12137,1.39926,-0.0433741,0.864096,0.0115332,0.563581
81.6161,37.8649,3.11971,1.44216,-0.0427912,0.892071,0.0163094,0.519411
81.5446,37.8664,3.11805,1.48644,-0.0419668,0.917852,0.0206174,0.476285
81.471,37.8681,3.11638,1.53199,-0.0409247,0.941493,0.0244618,0.434191
81.3951,37.8699,3.11473,1.57871,-0.0396883,0.963045,0.0278485,0.393118
81.3169,37.8719,3.11309,1.6265,-0.0382807,0.982558,0.0307857,0.353054
81.2363,37.8742,3.11147,1.67525,-0.0367247,1.00008,0.0332831,0.31399
81.1533,37.8766,3.10989,1.72487,-0.0350424,1.01567,0.0353529,0.275916
81.0678,37.8792,3.10834,1.77526,-0.0332554,1.02936,0.0370089,0.238825
80.9799,37.8821,3.10684,1.82633,-0.0313848,1.04122,0.0382673,0.202708
80.8895,37.8851,3.10539,1.87798,-0.0294506,1.05128,0.0391458,0.167559
80.7964,37.8884,3.104,1.93013,-0.027472,1.0596,0.0396642,0.133373
80.7009,37.8919,3.10268,1.98268,-0.0254672,1.06622,0.0398438,0.100145
80.6027,37.8957,3.10142,2.03557,-0.0234533,1.07119,0.0397073,0.0678703
80.5019,37.8997,3.10024,2.0887,-0.0214463,1.07456,0.0392785,0.0365454
80.3985,37.9039,3.09914,2.14199,-0.0194609,1.07637,0.0385823,0.00616748
80.2924,37.9083,3.09812,2.19537,-0.0175108,1.07668,0.0376443,-0.0232659
80.1837,37.913,3.09719,2.24876,-0.0156081,1.07552,0.0364907,-0.0517567
80.0724,37.9178,3.09634,2.3021,-0.0137636,1.07295,0.0351475,-0.0793065
79.9584,37.9229,3.09558,2.3553,-0.0119871,1.06902,0.033641,-0.105916
79.8419,37.9282,3.0949,2.40831,-0.0102867,1.06376,0.0319971,-0.131588
79.7226,37.9337,3.09432,2.46106,-0.00866943,1.05723,0.030241,-0.15632
79.6008,37.9394,3.09382,2.51348,-0.0071409,1.04947,0.0283973,-0.180115
79.4764,37.9453,3.0934,2.56551,-0.00570556,1.04053,0.0264895,-0.202973
79.3494,37.9513,3.09307,2.6171,-0.00436664,1.03045,0.0245401,-0.224893
79.2199,37.9575,3.09282,2.66819,-0.00312627,1.01929,0.0225699,-0.245876
79.0879,37.9639,3.09264,2.71873,-0.00198547,1.00709,0.0205985,-0.265921
78.9533,37.9704,3.09254,2.76865,-0.000944322,0.993886,0.018644,-0.285028
78.8163,37.9771,3.0925,2.81792,-1.96357e-06,0.979739,0.0167225,-0.303197
78.6768,37.9838,3.09253,2.86649,0.000843274,0.964689,0.0148486,-0.320428
78.535,37.9907,3.09262,2.91432,0.0015938,0.948784,0.0130351,-0.336721
78.3907,37.9977,3.09276,2.96135,0.00225266,0.93207,0.0112931,-0.352074
78.2442,38.0048,3.09295,3.00755,0.00282346,0.914595,0.00963168,-0.366488
78.0953,38.012,3.09318,3.05288,0.0033103,0.896403,0.00805854,-0.379961
77.9442,38.0192,3.09345,3.09731,0.00371762,0.877543,0.00657956,-0.392494
77.7909,38.0265,3.09376,3.14081,0.00405018,0.858061,0.00519907,-0.404086
77.6355,38.0339,3.09409,3.18334,0.00431297,0.838004,0.00391995,-0.414736
77.4779,38.0413,3.09444,3.22487,0.0045111,0.817418,0.00274369,-0.424444
77.3183,38.0488,3.09482,3.26538,0.00464978,0.79635,0.00167055,-0.433209
77.1567,38.0563,3.09521,3.30485,0.00473422,0.774847,0.000699636,-0.44103
76.9931,38.0638,3.09561,3.34325,0.00476958,0.752956,-0.000170916,-0.447907
76.8277,38.0713,3.09601,3.38056,0.00476094,0.730723,-0.000943851,-0.453839
76.6603,38.0789,3.09642,3.41677,0.00471323,0.708196,-0.00162265,-0.458826
76.4912,38.0865,3.09683,3.45186,0.00463122,0.685422,-0.00221138,-0.462866
76.3203,38.094,3.09723,3.48582,0.00451944,0.662446,-0.00271462,-0.46596
76.1478,38.1016,3.09763,3.51864,0.00438223,0.639318,-0.00313726,-0.468106
75.9736,38.1092,3.09802,3.55031,0.00422366,0.616083,-0.00348446,-0.469303
75.7979,38.1168,3.09839,3.58083,0.00404754,0.592788,-0.00376149,-0.469552
75.6206,38.1244,3.09875,3.6102,0.00385741,0.569481,-0.00397368,-0.468852
75.4419,38.132,3.0991,3.63841,0.00365656,0.546209,-0.00412627,-0.467201
75.2618,38.1396,3.09943,3.66546,0.003448,0.523019,-0.00422437,-0.4646
75.0804,38.1471,3.09975,3.69136,0.00323448,0.499958,-0.00427289,-0.461048
74.8976,38.1547,3.10004,3.71612,0.00301851,0.477073,-0.00427648,-0.456544
74.7137,38.1623,3.10032,3.73974,0.00280235,0.454411,-0.00423945,-0.451088
74.5285,38.1699,3.10058,3.76224,0.00258807,0.432021,-0.00416576,-0.444679
74.3423,38.1774,3.10082,3.78363,0.00237751,0.409949,-0.00405897,-0.437318
74.155,38.185,3.10104,3.80392,0.00217235,0.388242,-0.00392225,-0.429003
73.9666,38.1926,3.10124,3.82314,0.0019741,0.366947,-0.00375834,-0.419734
73.7774,38.2001,3.10143,3.84129,0.00178414,0.346113,-0.00356954,-0.409511
73.5872,38.2077,3.1016,3.85842,0.00160371,0.325787,-0.00335774,-0.398334
73.3962,38.2153,3.10175,3.87453,0.001434,0.306015,-0.00312444,-0.386202
