x,y,theta,v,phi,a,omega,jerk
9.61125,19.6161,0.556166,1,0,0,0,2.56365
9.68887,19.6644,0.558406,1.00022,0.000576514,0.234531,0.868234,2.19186
9.76641,19.7128,0.560657,1.02189,0.0804327,0.43505,0.679635,1.83133
9.84551,19.7625,0.566616,1.06188,0.142942,0.602585,0.484783,1.49222
9.9274,19.8147,0.575753,1.11717,0.187531,0.739098,0.281929,1.18132
10.013,19.8703,0.587541,1.18494,0.213461,0.847169,0.071088,0.901944
10.1032,19.9303,0.601316,1.26256,0.219999,0.929682,2.11787e-06,0.653974
10.1984,19.9957,0.616184,1.34771,0.22,0.98951,6.90874e-08,0.436092
10.2989,20.0669,0.631842,1.43831,0.22,1.0294,3.50737e-08,0.246848
10.405,20.1446,0.648338,1.53254,0.22,1.05199,-4.6788e-09,0.0846743
10.5166,20.2292,0.665702,1.62881,0.22,1.05973,-5.07836e-08,-0.0521137
10.6337,20.3212,0.683948,1.72579,0.22,1.05497,-1.05253e-07,-0.165306
10.756,20.4209,0.703076,1.82231,0.22,1.03984,-1.71946e-07,-0.256792
10.8831,20.5286,0.723077,1.91743,0.22,1.01635,-2.5757e-07,-0.328553
11.0145,20.6446,0.743929,2.0104,0.22,0.986294,-3.73899e-07,-0.382655
11.1497,20.7691,0.765607,2.10061,0.22,0.951288,-5.42752e-07,-0.42124
11.2882,20.9022,0.788076,2.18761,0.22,0.912751,-8.08217e-07,-0.446521
11.4292,21.044,0.811301,2.27107,0.219999,0.871902,-1.11745e-06,-0.460777
11.5721,21.1946,0.835239,2.3508,0.219999,0.829749,-1.55032e-06,-0.466136
11.7163,21.354,0.859863,2.42666,0.219999,0.787105,-2.07553e-05,-0.464518
11.8611,21.5221,0.885145,2.49863,0.219997,0.744609,-0.0505319,-0.457626
12.0057,21.699,0.911056,2.5667,0.21535,0.702744,-0.112627,-0.447046
12.1495,21.8844,0.936998,2.63095,0.204991,0.661847,-0.157647,-0.434174
12.2919,22.0782,0.9622,2.69145,0.190491,0.622127,-0.187664,-0.42013
12.4326,22.2801,0.986054,2.74832,0.173231,0.583693,-0.2049,-0.405739
12.5713,22.4897,1.00811,2.80168,0.154385,0.546574,-0.211578,-0.391554
12.7079,22.7063,1.02807,2.85164,0.134925,0.510754,-0.209809,-0.3779
12.8425,22.9296,1.04576,2.89833,0.115628,0.476182,-0.201537,-0.364929
12.9753,23.1589,1.06112,2.94186,0.097091,0.442797,-0.188497,-0.352668
13.1065,23.3937,1.07416,2.98234,0.079754,0.410534,-0.172199,-0.34107
13.2364,23.6335,1.08499,3.01987,0.0639159,0.379332,-0.153932,-0.330046
13.3653,23.8776,1.09376,3.05454,0.0497579,0.349138,-0.134765,-0.319492
13.4935,24.1257,1.10064,3.08646,0.0373629,0.31991,-0.115559,-0.309309
13.6213,24.3773,1.10584,3.1157,0.0267343,0.291613,-0.0969837,-0.299407
13.7491,24.632,1.10957,3.14235,0.0178142,0.264223,-0.0795374,-0.289716
13.8769,24.8892,1.11207,3.16651,0.0104987,0.237719,-0.0635645,-0.280183
14.0051,25.1488,1.11352,3.18824,0.00465231,0.212086,-0.0492782,-0.270774
14.1337,25.4104,1.11415,3.20762,0.000119933,0.187315,-0.0367818,-0.261466
14.263,25.6736,1.11412,3.22474,-0.00326309,0.163395,-0.0260899,-0.252251
14.393,25.9383,1.1136,3.23967,-0.00566272,0.140319,-0.0171477,-0.243125
14.5237,26.204,1.11273,3.2525,-0.00723988,0.118077,-0.00984964,-0.234091
14.6552,26.4708,1.11162,3.26329,-0.00814581,0.0966615,-0.0040548,-0.225157
14.7874,26.7382,1.11039,3.27212,-0.00851875,0.0760634,0.000399068,-0.216329
14.9203,27.0063,1.1091,3.27907,-0.00848205,0.0562729,0.0036843,-0.207615
15.0539,27.2747,1.10781,3.28421,-0.00814318,0.0372796,0.00597433,-0.199025
15.1879,27.5433,1.10658,3.28761,-0.00759369,0.0190722,0.00743671,-0.190563
15.3225,27.8121,1.10544,3.28935,-0.0069097,0.00163883,0.00822816,-0.182238
15.4574,28.0809,1.10439,3.2895,-0.00615291,-0.0150329,0.0084912,-0.174054
15.5926,28.3495,1.10347,3.28812,-0.00537193,-0.030956,0.0083522,-0.166016
15.728,28.618,1.10266,3.28528,-0.00460373,-0.0461437,0.00792057,-0.158128
15.8636,28.886,1.10197,3.28106,-0.00387523,-0.0606097,0.00728883,-0.150392
15.9991,29.1536,1.10139,3.27551,-0.00320484,-0.074368,0.00653329,-0.14281
16.1345,29.4207,1.10092,3.26871,-0.00260393,-0.0874327,0.00571528,-0.135386
16.2698,29.6872,1.10053,3.26071,-0.00207827,-0.0998183,0.00488262,-0.128119
16.4049,29.953,1.10022,3.25158,-0.00162919,-0.111539,0.00407121,-0.121012
16.5396,30.218,1.09998,3.24138,-0.00125474,-0.12261,0.0033068,-0.114065
16.674,30.4821,1.0998,3.23016,-0.000950592,-0.133045,0.00260657,-0.107279
16.808,30.7453,1.09966,3.21799,-0.000710852,-0.142859,0.00198073,-0.100655
16.9415,31.0074,1.09956,3.20493,-0.000528673,-0.152067,0.00143398,-0.0941919
17.0746,31.2685,1.09948,3.19102,-0.000396783,-0.160684,0.000966709,-0.0878912
17.207,31.5285,1.09943,3.17633,-0.000307869,-0.168725,0.000576191,-0.0817526
17.3388,31.7872,1.09939,3.1609,-0.000254874,-0.176204,0.000257472,-0.0757766
17.4701,32.0447,1.09935,3.14478,-0.000231193,-0.183136,4.16807e-06,-0.069963
17.6006,32.3009,1.09932,3.12804,-0.000230809,-0.189536,-0.000190906,-0.0643122
17.7305,32.5557,1.09929,3.1107,-0.000248368,-0.19542,-0.000335242,-0.0588242
17.8597,32.8091,1.09925,3.09283,-0.000279202,-0.200801,-0.000436267,-0.0534991
17.9881,33.061,1.09921,3.07447,-0.000319328,-0.205696,-0.000501067,-0.0483371
18.1158,33.3114,1.09917,3.05566,-0.000365414,-0.210118,-0.000536201,-0.0433385
18.2427,33.5603,1.09912,3.03645,-0.000414731,-0.214082,-0.000547585,-0.0385033
18.3688,33.8076,1.09906,3.01687,-0.000465095,-0.217605,-0.000540428,-0.0338318
18.4941,34.0534,1.09899,2.99697,-0.000514802,-0.2207,-0.000519218,-0.0293243
18.6186,34.2974,1.09892,2.97679,-0.000562557,-0.223383,-0.000487734,-0.0249811
18.7423,34.5399,1.09885,2.95637,-0.000607416,-0.225668,-0.000449084,-0.0208025
18.8652,34.7806,1.09876,2.93573,-0.000648721,-0.227571,-0.000405762,-0.0167888
18.9872,35.0197,1.09868,2.91492,-0.000686041,-0.229107,-0.000359705,-0.0129403
19.1084,35.2571,1.09859,2.89397,-0.000719125,-0.230291,-0.000312368,-0.00925753
19.2287,35.4927,1.09849,2.87292,-0.000747855,-0.231138,-0.000264791,-0.00574076
19.3482,35.7266,1.09839,2.85178,-0.00077221,-0.231663,-0.00021767,-0.00239041
19.4668,35.9588,1.09829,2.8306,-0.00079223,-0.231881,-0.000171421,0.000793085
19.5846,36.1893,1.09819,2.8094,-0.000807996,-0.231809,-0.000126249,0.00380932
19.7015,36.418,1.09808,2.7882,-0.000819608,-0.23146,-8.22014e-05,0.00665787
19.8175,36.645,1.09798,2.76704,-0.000827169,-0.230851,-3.92252e-05,0.0093383
19.9327,36.8702,1.09788,2.74593,-0.000830777,-0.229997,2.78103e-06,0.0118502
20.047,37.0937,1.09777,2.7249,-0.000830521,-0.228913,4.39216e-05,0.0141931
20.1605,37.3155,1.09767,2.70397,-0.000826481,-0.227615,8.42601e-05,0.0163666
20.2731,37.5356,1.09756,2.68316,-0.000818731,-0.226117,0.00012378,0.0183704
20.3849,37.754,1.09746,2.66248,-0.000807346,-0.224437,0.000162346,0.0202039
20.4958,37.9706,1.09737,2.64196,-0.000792415,-0.222588,0.000199674,0.0218667
20.6059,38.1856,1.09727,2.62161,-0.00077405,-0.220588,0.000235294,0.0233586
20.7152,38.3989,1.09718,2.60144,-0.000752408,-0.218451,0.000268527,0.0246791
20.8237,38.6106,1.09709,2.58147,-0.00072771,-0.216193,0.00029846,0.0258278
20.9313,38.8207,1.097,2.5617,-0.000700259,-0.21383,0.000323921,0.0268044
21.0382,39.0291,1.09692,2.54215,-0.000670467,-0.211378,0.000343466,0.0276085
21.1442,39.2359,1.09684,2.52282,-0.000638876,-0.208853,0.000355367,0.0282399
21.2495,39.4412,1.09677,2.50373,-0.000606191,-0.206269,0.000357609,0.0286983
21.3539,39.6448,1.0967,2.48487,-0.0005733,-0.203644,0.000347894,0.0289832
21.4576,39.847,1.09663,2.46625,-0.000541302,-0.200992,0.00032365,0.0290946
21.5606,40.0476,1.09657,2.44787,-0.000511534,-0.198331,0.000282063,0.0290321
21.6627,40.2467,1.09651,2.42974,-0.000485591,-0.195675,0.000220109,0.0287955
21.7642,40.4444,1.09646,2.41185,-0.000465347,-0.19304,0.000134608,0.0283846
21.8649,40.6405,1.09641,2.3942,-0.000452966,-0.190444,2.22959e-05,0.0277991
21.9648,40.8353,1.09636,2.37679,-0.000450915,-0.1879,-0.00012009,0.0270389
22.0641,41.0286,1.09631,2.35961,-0.000461961,-0.185427,-0.0002957,0.0261038
22.1626,41.2205,1.09626,2.34266,-0.000489158,-0.183039,-0.000507443,0.0249935
22.2605,41.411,1.09621,2.32592,-0.00053583,-0.180752,-0.000757828,0.0237079
22.3576,41.6002,1.09616,2.3094,-0.000605532,-0.178583,-0.00104879,0.0222467
22.4541,41.788,1.09609,2.29307,-0.000701995,-0.176548,-0.00138147,0.0206097
22.5499,41.9745,1.09602,2.27693,-0.000829056,-0.174663,-0.00175602,0.0187964
22.645,42.1597,1.09594,2.26096,-0.000990567,-0.172943,-0.00217131,0.0168065
22.7395,42.3435,1.09584,2.24515,-0.00119027,-0.171406,-0.00262466,0.0146396
22.8334,42.5261,1.09572,2.22948,-0.00143168,-0.170066,-0.00311158,0.0122951
22.9266,42.7074,1.09558,2.21393,-0.00171787,-0.168942,-0.0036254,0.0097724
23.0192,42.8874,1.0954,2.19849,-0.00205132,-0.168048,-0.004157,0.0070706
23.1111,43.0661,1.0952,2.18313,-0.00243366,-0.167401,-0.00469447,0.00418883
23.2025,43.2435,1.09496,2.16782,-0.00286543,-0.167018,-0.00522279,0.00112601
23.2933,43.4197,1.09468,2.15255,-0.0033458,-0.166915,-0.00572354,-0.00211908
23.3834,43.5947,1.09435,2.1373,-0.00387223,-0.167108,-0.00617461,-0.00554782
23.473,43.7683,1.09398,2.12202,-0.00444014,-0.167616,-0.00655003,-0.00916172
23.5621,43.9407,1.09355,2.1067,-0.00504258,-0.168454,-0.00681975,-0.0129624
23.6505,44.1118,1.09307,2.0913,-0.00566983,-0.16964,-0.0069496,-0.0169516
23.7384,44.2816,1.09252,2.07579,-0.00630902,-0.171191,-0.00690128,-0.0211311
23.8257,44.4501,1.09192,2.06014,-0.00694377,-0.173124,-0.00663254,-0.0255026
23.9125,44.6173,1.09127,2.04431,-0.0075538,-0.175457,-0.00609746,-0.0300679
23.9987,44.7831,1.09056,2.02828,-0.00811462,-0.178208,-0.00524686,-0.0348286
24.0843,44.9476,1.0898,2.01199,-0.0085972,-0.181394,-0.00402903,-0.0397861
24.1694,45.1107,1.089,1.9954,-0.00896777,-0.185034,-0.00239053,-0.0449418
24.2539,45.2724,1.08818,1.97849,-0.00918764,-0.189145,-0.000277327,-0.0502967
24.3379,45.4326,1.08733,1.9612,-0.00921315,-0.193746,0.00236389,-0.0558521
24.4212,45.5914,1.08649,1.94349,-0.00899573,-0.198856,0.00558408,-0.061609
24.5039,45.7487,1.08567,1.92531,-0.00848213,-0.204492,0.00943,-0.067569
24.5859,45.9044,1.0849,1.90662,-0.0076148,-0.210673,0.0139421,-0.0737343
24.6673,46.0585,1.08421,1.88736,-0.00633248,-0.217419,0.019152,-0.0801082
24.748,46.2111,1.08363,1.86749,-0.00457097,-0.224748,0.0250801,-0.0866958
24.8279,46.362,1.0832,1.84694,-0.00226421,-0.232679,0.031733,-0.0935047
24.907,46.5112,1.08297,1.82567,0.000654445,-0.241233,0.0390998,-0.100546
24.9852,46.6586,1.08297,1.80362,0.00425067,-0.250431,0.0471504,-0.107834
25.0625,46.8043,1.08327,1.78073,0.00858735,-0.260296,0.0558315,-0.115388
25.1387,46.9482,1.08391,1.75693,0.0137225,-0.270852,0.0650645,-0.123235
25.2138,47.0901,1.08495,1.73218,0.0197068,-0.282126,0.0747428,-0.131403
25.2878,47.2302,1.08645,1.70639,0.0265813,-0.294147,0.0847297,-0.139929
25.3604,47.3683,1.08845,1.6795,0.0343744,-0.306948,0.0948566,-0.148852
25.4316,47.5043,1.09102,1.65144,0.0430988,-0.320566,0.104922,-0.15821
25.5013,47.6383,1.0942,1.62214,0.0527491,-0.335039,0.114691,-0.168043
25.5693,47.7701,1.09804,1.59151,0.0632978,-0.350413,0.123896,-0.178376
25.6355,47.8996,1.10259,1.55948,0.0746932,-0.366731,0.132237,-0.189223
25.6998,48.0269,1.10786,1.52595,0.0868558,-0.384042,0.139388,-0.200566
25.7621,48.1517,1.11388,1.49085,0.0996761,-0.40239,0.144995,-0.212353
25.8222,48.2741,1.12065,1.45407,0.113012,-0.421817,0.148686,-0.224474
25.88,48.3938,1.12816,1.41551,0.126688,-0.442352,0.150076,-0.236751
25.9354,48.5107,1.13639,1.37507,0.140491,-0.464011,0.148778,-0.248918
25.9883,48.6248,1.14529,1.33265,0.154175,-0.486783,0.144413,-0.260603
26.0386,48.7358,1.1548,1.28816,0.167457,-0.510624,0.136625,-0.271313
26.0862,48.8435,1.16482,1.24148,0.180023,-0.535444,0.125101,-0.28042
26.131,48.9478,1.17526,1.19253,0.19153,-0.561098,0.109586,-0.287154
26.173,49.0484,1.18598,1.14123,0.201609,-0.587368,0.0899098,-0.290599
26.2121,49.1451,1.19684,1.08753,0.209878,-0.613953,0.0660069,-0.289709
26.2484,49.2377,1.20768,1.0314,0.215949,-0.640456,0.0379472,-0.283325
26.2819,49.3259,1.21834,0.972837,0.21944,-0.666376,0.00606339,-0.270215
26.3125,49.4094,1.22863,0.911903,0.219997,-0.691096,7.34903e-06,-0.249126
26.3405,49.4879,1.2384,0.848705,0.219998,-0.713887,1.41632e-06,-0.218736
26.3658,49.5613,1.24759,0.783417,0.219998,-0.733898,8.88531e-07,-0.177646
26.3885,49.6292,1.2562,0.716293,0.219998,-0.750149,-1.39045e-05,-0.124381
