x,y,theta,v,phi,a,omega,jerk
16.5,50,-1.8314,1,0,0,0,4.17415
16.4835,49.9386,-1.82739,1.00057,0.000894668,0.265354,0.974792,3.72132
16.4672,49.8771,-1.82337,1.01798,0.0635539,0.501921,0.810777,3.27987
16.4509,49.8144,-1.81733,1.05039,0.11567,0.710426,0.641242,2.85502
16.4345,49.7497,-1.80951,1.09603,0.156889,0.891921,0.464193,2.45079
16.4179,49.682,-1.80009,1.15316,0.186727,1.04772,0.278441,2.06996
16.4011,49.6107,-1.78932,1.22015,0.204625,1.17931,0.0836088,1.71395
16.3842,49.535,-1.77748,1.29547,0.21,1.28827,3.21675e-06,1.38287
16.3671,49.4544,-1.76499,1.37768,0.21,1.37618,1.51722e-07,1.0762
16.3501,49.3685,-1.75201,1.46543,0.21,1.44459,1.38267e-07,0.79339
16.3332,49.277,-1.73853,1.5575,0.21,1.49503,1.1653e-07,0.533834
16.3165,49.1794,-1.72452,1.65275,0.21,1.52896,9.39356e-08,0.296887
16.3003,49.0756,-1.70996,1.75012,0.21,1.54784,7.08997e-08,0.08186
16.2847,48.9655,-1.69486,1.84866,0.21,1.55304,4.75123e-08,-0.111977
16.2701,48.849,-1.6792,1.94751,0.21,1.54592,2.36135e-08,-0.285396
16.2565,48.726,-1.66299,2.04588,0.21,1.52778,-1.16709e-09,-0.439206
16.2444,48.5966,-1.64624,2.14307,0.21,1.49986,-2.74023e-08,-0.574254
16.234,48.4609,-1.62897,2.23847,0.21,1.46335,-5.58973e-08,-0.691421
16.2256,48.3189,-1.61119,2.33152,0.21,1.4194,-8.77574e-08,-0.791623
16.2195,48.1709,-1.59292,2.42177,0.21,1.36908,-1.24518e-07,-0.875811
16.2159,48.0172,-1.5742,2.5088,0.21,1.3134,-1.68368e-07,-0.944963
16.2152,47.8578,-1.55503,2.59227,0.21,1.25333,-2.22531e-07,-1.00009
16.2177,47.6932,-1.53546,2.67192,0.21,1.18975,-2.91961e-07,-1.04224
16.2235,47.5236,-1.51552,2.74751,0.21,1.12349,-3.84624e-07,-1.07246
16.233,47.3493,-1.49523,2.81888,0.21,1.05532,-5.14236e-07,-1.09187
16.2464,47.1708,-1.47463,2.88591,0.21,0.985906,-6.56556e-07,-1.10158
16.2638,46.9884,-1.45375,2.94852,0.21,0.915878,-8.1718e-07,-1.10268
16.2855,46.8024,-1.43262,3.00667,0.21,0.84578,-1.03148e-06,-1.09622
16.3117,46.6132,-1.41125,3.06036,0.209999,0.776092,-1.32328e-06,-1.08317
16.3424,46.4213,-1.38967,3.10962,0.209999,0.707234,-1.33293e-06,-1.06445
16.3778,46.2271,-1.36789,3.1545,0.209999,0.639566,-3.28397e-05,-1.04092
16.418,46.0308,-1.34593,3.19508,0.209997,0.573394,-0.0457421,-1.01337
16.4631,45.833,-1.32381,3.23145,0.207057,0.508973,-0.0997989,-0.982569
16.5131,45.634,-1.30186,3.26373,0.200642,0.446511,-0.14187,-0.949243
16.568,45.4342,-1.28049,3.29204,0.191523,0.386167,-0.173218,-0.914033
16.6277,45.2339,-1.25999,3.31651,0.180388,0.328061,-0.195152,-0.877494
16.692,45.0333,-1.24063,3.3373,0.167844,0.272278,-0.208968,-0.840095
16.7605,44.8328,-1.22258,3.35454,0.154412,0.218872,-0.215909,-0.802219
16.833,44.6325,-1.20596,3.36839,0.140533,0.167874,-0.217136,-0.764169
16.9092,44.4327,-1.19082,3.379,0.126576,0.119296,-0.213715,-0.726183
16.9886,44.2334,-1.17719,3.38653,0.112838,0.0731316,-0.206608,-0.688442
17.0709,44.0348,-1.16506,3.39112,0.0995575,0.0293668,-0.196671,-0.651082
17.1558,43.8369,-1.15438,3.39294,0.0869156,-0.012023,-0.184653,-0.6142
17.2427,43.6398,-1.14508,3.39213,0.0750462,-0.0510682,-0.171203,-0.577867
17.3315,43.4436,-1.13708,3.38884,0.0640413,-0.0878036,-0.156874,-0.542132
17.4218,43.2483,-1.13029,3.38323,0.0539575,-0.122267,-0.142132,-0.507029
17.5133,43.0539,-1.1246,3.37542,0.0448214,-0.1545,-0.127359,-0.472579
17.6056,42.8605,-1.1199,3.36557,0.0366348,-0.184542,-0.112867,-0.438798
17.6986,42.6681,-1.11609,3.35381,0.0293798,-0.212437,-0.0988979,-0.405695
17.7919,42.4768,-1.11306,3.34028,0.0230226,-0.238227,-0.0856384,-0.373273
17.8855,42.2865,-1.11072,3.32511,0.0175179,-0.261956,-0.0732228,-0.341537
17.9791,42.0972,-1.10896,3.30844,0.0128111,-0.283668,-0.0617418,-0.310487
18.0725,41.9091,-1.1077,3.29039,0.00884239,-0.303406,-0.051249,-0.280124
18.1657,41.7222,-1.10686,3.27109,0.00554812,-0.321214,-0.0417666,-0.250446
18.2585,41.5364,-1.10636,3.25066,0.00286339,-0.337135,-0.0332917,-0.221453
18.3508,41.3518,-1.10612,3.22922,0.000723411,-0.351213,-0.025801,-0.193142
18.4425,41.1684,-1.10611,3.20688,-0.000935066,-0.363491,-0.0192556,-0.165511
18.5336,40.9863,-1.10625,3.18377,-0.00217281,-0.374013,-0.0136048,-0.138559
18.624,40.8056,-1.10652,3.15999,-0.00304732,-0.382821,-0.00878978,-0.112282
18.7137,40.6261,-1.10686,3.13565,-0.00361232,-0.389959,-0.0047463,-0.0866771
