x,y,theta,t
4.58,4.04,0.02,520
4.62742,4.042,0.0240671,521
4.67503,4.04417,0.0281084,522
4.72399,4.04656,0.0334418,523
4.77532,4.04927,0.0400565,524
4.82992,4.05242,0.0479854,525
4.88858,4.05617,0.0572637,526
4.95196,4.0607,0.0678911,527
5.02061,4.06621,0.079795,528
5.09498,4.07296,0.0927991,529
5.17543,4.08118,0.106597,530
5.26219,4.09115,0.121198,531
5.35545,4.10313,0.136631,532
5.45527,4.11741,0.152918,533
5.56166,4.13429,0.17007,534
5.67456,4.15409,0.188092,535
5.79381,4.17713,0.206985,536
5.91922,4.20371,0.226743,537
6.05052,4.23417,0.247356,538
6.1874,4.26881,0.268811,539
6.32951,4.30794,0.291094,540
6.47644,4.35184,0.314187,541
6.62778,4.40079,0.338073,542
6.77975,4.45504,0.362557,543
6.93434,4.51481,0.387555,544
7.09195,4.58027,0.413027,545
7.25212,4.65159,0.438933,546
7.41435,4.72889,0.465237,547
7.57818,4.81226,0.491898,548
7.74312,4.90176,0.51888,549
7.90868,4.99744,0.546146,550
8.07441,5.0993,0.57366,551
8.23982,5.20731,0.601387,552
8.40446,5.32141,0.629294,553
8.5679,5.44153,0.657347,554
8.72972,5.56756,0.685516,555
8.8895,5.69936,0.713771,556
9.04687,5.83678,0.74195,557
9.20148,5.97963,0.769436,558
9.3531,6.12762,0.795771,559
9.5016,6.28036,0.820661,560
9.64695,6.43746,0.843978,561
9.78914,6.59736,0.865912,562
9.92821,6.76084,0.886496,563
10.0642,6.92754,0.905763,564
10.1972,7.09714,0.923749,565
10.3273,7.26932,0.940492,566
10.4546,7.44382,0.956033,567
10.5793,7.62038,0.970411,568
10.7014,7.79876,0.983669,569
10.8212,7.97877,0.995848,570
10.9388,8.16023,1.00699,571
11.0543,8.34298,1.01714,572
11.168,8.5269,1.02633,573
11.28,8.71185,1.03462,574
11.3905,8.89773,1.04202,575
11.4996,9.08441,1.04859,576
11.6074,9.27181,1.05437,577
11.7142,9.45983,1.05937,578
11.82,9.64838,1.06365,579
11.925,9.83738,1.06724,580
12.0294,10.0268,1.07016,581
12.1332,10.2164,1.07245,582
12.2365,10.4064,1.07415,583
12.3395,10.5964,1.07527,584
12.4423,10.7866,1.07586,585
12.545,10.9769,1.07594,586
12.6477,11.1672,1.07553,587
12.7505,11.3574,1.07467,588
12.8534,11.5476,1.07339,589
12.9566,11.7376,1.0717,590
13.0601,11.9274,1.06963,591
13.1639,12.117,1.06721,592
13.2683,12.3064,1.06446,593
13.3731,12.4955,1.0614,594
13.4786,12.6842,1.05805,595
13.5847,12.8726,1.05444,596
13.6914,13.0606,1.05058,597
13.7989,13.2482,1.0465,598
13.9071,13.4354,1.0422,599
14.0162,13.6221,1.03772,600
14.126,13.8083,1.03307,601
14.2368,13.994,1.02826,602
14.3484,14.1792,1.0233,603
14.461,14.3638,1.01823,604
14.5745,14.5478,1.01303,605
14.6889,14.7312,1.00775,606
14.8043,14.9141,1.00237,607
14.9207,15.0963,0.996922,608
15.0381,15.2778,0.99141,609
15.1565,15.4588,0.985845,610
15.2758,15.639,0.980237,611
15.3962,15.8186,0.974595,612
15.5176,15.9975,0.968927,613
15.6401,16.1757,0.963241,614
15.7635,16.3532,0.957543,615
15.8879,16.5301,0.95184,616
16.0134,16.7062,0.946136,617
16.1398,16.8815,0.940439,618
16.2672,17.0562,0.934753,619
16.3957,17.2301,0.929085,620
16.5251,17.4033,0.923438,621
16.6555,17.5758,0.91782,622
16.7868,17.7475,0.912234,623
16.9191,17.9185,0.906686,624
17.0524,18.0887,0.901181,625
17.1866,18.2582,0.895722,626
17.3217,18.427,0.890315,627
17.4577,18.5951,0.884964,628
17.5947,18.7624,0.879673,629
17.7325,18.929,0.874447,630
17.8711,19.0948,0.869288,631
18.0107,19.26,0.864201,632
18.151,19.4244,0.85919,633
18.2922,19.5882,0.854259,634
18.4342,19.7512,0.84941,635
18.577,19.9135,0.844647,636
18.7206,20.0752,0.839974,637
18.8649,20.2362,0.835393,638
19.0099,20.3965,0.830908,639
19.1557,20.5562,0.826521,640
19.3021,20.7152,0.822236,641
19.4493,20.8736,0.818054,642
19.5971,21.0314,0.813979,643
19.7455,21.1886,0.810013,644
19.8946,21.3452,0.806159,645
20.0443,21.5012,0.802418,646
20.1945,21.6566,0.798794,647
20.3453,21.8116,0.795288,648
20.4967,21.9659,0.791902,649
20.6486,22.1198,0.788639,650
20.801,22.2732,0.785499,651
20.9538,22.4261,0.782486,652
21.1071,22.5785,0.7796,653
21.2609,22.7305,0.776844,654
21.4151,22.882,0.774218,655
21.5697,23.0332,0.771725,656
21.7246,23.184,0.769365,657
21.8799,23.3344,0.767141,658
22.0356,23.4844,0.765052,659
22.1915,23.6342,0.763102,660
22.3478,23.7836,0.76129,661
22.5043,23.9328,0.759618,662
22.6611,24.0816,0.758086,663
22.8181,24.2303,0.756696,664
22.9753,24.3787,0.755448,665
23.1326,24.5269,0.754343,666
23.2902,24.675,0.753382,667
23.4479,24.8229,0.752566,668
23.6057,24.9707,0.751895,669
23.7636,25.1183,0.751369,670
23.9216,25.2659,0.750989,671
24.0796,25.4135,0.750756,672
24.2377,25.561,0.750669,673
24.3958,25.7084,0.750729,674
24.5539,25.8559,0.750936,675
24.712,26.0034,0.751291,676
24.87,26.151,0.751792,677
25.0279,26.2987,0.752441,678
25.1857,26.4464,0.753237,679
25.3434,26.5943,0.75418,680
25.501,26.7423,0.75527,681
25.6584,26.8905,0.756506,682
