min_x,max_x,min_y,max_y
14.1378,22.0125,44.6405,55.6011
14.0856,21.9604,44.4468,55.4074
14.0373,21.912,44.2521,55.2127
13.0669,21.8674,44.0566,51.9313
13.0262,21.8267,43.8602,51.7349
13.2979,21.7898,43.663,51.8463
13.2648,21.7567,43.4652,51.9571
13.2356,21.7275,43.2667,51.7586
13.2103,21.7022,43.0677,51.8682
13.1889,21.6808,42.8683,51.9774
13.1714,21.6633,42.6685,51.7775
13.1577,21.6496,42.4683,51.886
13.148,21.6399,42.268,51.9942
13.1421,21.634,42.0675,51.7937
13.1402,21.6321,41.8669,51.9018
13.1422,21.6341,41.6664,51.7012
13.1481,21.64,41.4659,51.8093
13.1579,21.6498,41.2655,51.9175
13.1716,21.6635,41.0654,51.7174
13.1892,21.6811,40.8656,51.8262
13.2107,21.7026,40.6662,51.6267
12.0018,21.728,40.4672,48.9591
12.031,21.7573,40.2687,48.7606
12.0641,21.7904,40.0709,48.8714
12.1011,21.8273,39.8738,48.9828
12.1419,21.8681,39.6774,48.7864
12.1865,21.9128,39.4818,48.8995
12.2349,21.9612,39.2872,48.7048
12.2871,22.0134,39.0935,48.8197
12.0345,22.0694,38.9009,48.9357
12.0943,22.1291,38.7094,48.7442
12.1577,22.1925,38.5191,48.8625
12.2248,22.2597,38.3301,48.9821
12.2957,22.3305,38.1424,48.7944
12.0615,22.4049,37.9562,48.9167
12.1396,22.483,37.7714,48.732
12.2212,22.5647,37.5882,48.5488
12.3065,22.6499,37.4066,48.3672
12.0866,22.7386,37.2267,48.1873
12.1788,22.8308,37.0486,48.0092
12.2752,22.9272,36.8727,47.8332
12.0643,23.0249,36.6975,47.6581
12.1621,23.1226,36.5224,47.4829
12.2598,23.2204,36.3472,47.3078
12.3575,23.3181,36.1721,47.1326
12.4553,23.4158,35.9969,46.9575
12.553,23.5136,35.8218,46.7824
12.6507,23.6113,35.6466,46.6072
12.7485,23.7091,35.4715,46.4321
12.8462,23.8068,35.2963,46.2569
12.9439,23.9045,35.1212,46.0818
13.0417,24.0023,34.946,45.9066
13.1394,24.1,34.7709,45.7315
13.2371,24.1977,34.5957,45.5563
13.3349,24.2955,34.4206,45.3812
13.4326,24.3932,34.2454,45.206
13.5304,24.4909,34.0703,45.0309
13.6281,24.5887,33.8951,44.8557
13.7258,24.6864,33.72,44.6806
13.8236,24.7842,33.5448,44.5054
13.9213,24.8819,33.3697,44.3303
14.019,24.9796,33.1945,44.1551
14.1168,25.0774,33.0194,43.98
14.2145,25.1751,32.8442,43.8048
14.3122,25.2728,32.6691,43.6297
14.41,25.3706,32.4939,43.4545
14.5077,25.4683,32.3188,43.2794
14.6054,25.566,32.1436,43.1042
14.7032,25.6638,31.9685,42.9291
14.8009,25.7615,31.7933,42.7539
14.8987,25.8592,31.6182,42.5788
14.9964,25.957,31.443,42.4036
15.0941,26.0547,31.2679,42.2285
15.1919,26.1525,31.0927,42.0533
15.2896,26.2502,30.9176,41.8782
15.3873,26.3479,30.7424,41.703
15.4851,26.4457,30.5673,41.5279
15.5828,26.5434,30.3921,41.3527
15.6805,26.6411,30.217,41.1776
15.7783,26.7389,30.0418,41.0024
15.876,26.8366,29.8667,40.8273
15.9738,26.9343,29.6915,40.6521
16.0715,27.0321,29.5164,40.477
16.1692,27.1298,29.3412,40.3018
16.267,27.2275,29.1661,40.1267
16.3647,27.3253,28.9909,39.9515
16.4624,27.423,28.8158,39.7764
16.5602,27.5208,28.6407,39.6012
