x,y,theta,v,phi,a,omega,jerk
16.5,50,-1.8314,1,0,0,0,0
16.4502,49.8057,-1.81191,3.43476,0.18,10,3.0825,10
16.4042,49.6105,-1.79241,3.43476,0.18,-2.35756e-13,0,-10
16.362,49.4144,-1.77292,3.43476,0.18,4.18277e-13,0,4.4556e-12
16.3237,49.2175,-1.75342,3.43476,0.18,8.59368e-13,0,-6.30362e-12
16.2892,49.0199,-1.73393,3.43476,0.18,-8.82183e-13,0,-1.55989e-11
16.2586,48.8217,-1.71444,3.43476,0.18,-6.76847e-13,0,1.44305e-11
16.2318,48.623,-1.69494,3.43476,0.18,-3.11806e-13,0,1.12792e-11
16.2089,48.4237,-1.67545,3.43476,0.18,2.13701e-12,0,7.47669e-12
16.1899,48.224,-1.65596,3.43476,0.18,-2.5705e-12,0,-3.91668e-11
16.1748,48.024,-1.63646,3.43476,0.18,2.22827e-12,0,4.62481e-11
16.1636,47.8238,-1.61697,3.43476,0.18,-5.62772e-13,0,-3.87219e-11
16.1562,47.6233,-1.59747,3.43476,0.18,-1.93168e-12,0,7.70579e-12
16.1529,47.4228,-1.57798,3.43476,0.18,2.95836e-12,0,3.60383e-11
16.1534,47.2222,-1.55849,3.43476,0.18,-2.00773e-12,0,-5.26696e-11
16.1578,47.0217,-1.53899,3.43476,0.18,-3.42226e-13,0,3.40401e-11
16.1661,46.8213,-1.5195,3.43476,0.18,1.75676e-12,0,7.61739e-12
16.1784,46.6211,-1.50001,3.43476,0.18,3.34621e-13,0,-2.97499e-11
16.1945,46.4212,-1.48051,3.43476,0.18,-1.3613e-12,0,-7.09169e-12
16.2145,46.2216,-1.46102,3.43476,0.18,-4.56302e-13,0,2.2856e-11
16.2384,46.0225,-1.44152,3.43476,0.18,1.77197e-12,0,9.58614e-12
16.2662,45.8239,-1.42203,3.43476,0.18,-2.7226e-12,0,-3.30676e-11
16.2979,45.6258,-1.40254,3.43476,0.18,1.87844e-12,0,4.8503e-11
16.3334,45.4284,-1.38304,3.43476,0.18,-9.88654e-14,0,-3.22672e-11
16.3728,45.2317,-1.36355,3.43476,0.18,4.63907e-13,0,2.15698e-12
16.4159,45.0359,-1.34406,3.43476,0.18,-7.14873e-13,0,-8.65927e-12
16.4629,44.8409,-1.32456,3.43476,0.18,-7.45293e-13,0,1.14969e-11
16.5137,44.6468,-1.30507,3.43476,0.18,1.01147e-12,0,1.37746e-11
16.5683,44.4538,-1.28557,3.43476,0.18,1.39933e-12,0,-1.59221e-11
16.6266,44.2619,-1.26608,3.43476,0.18,-3.24735e-12,0,-2.72108e-11
16.6886,44.0712,-1.24659,3.43476,0.18,3.10285e-12,0,5.87137e-11
16.7544,43.8817,-1.22709,3.43476,0.18,-1.93928e-12,0,-5.50756e-11
16.8238,43.6935,-1.2076,3.43476,0.18,1.97731e-13,0,3.34079e-11
16.8969,43.5068,-1.18811,3.43476,0.18,4.25882e-13,0,-2.96026e-12
16.9736,43.3214,-1.16861,3.43476,0.18,-7.37688e-13,0,-8.03091e-12
17.0539,43.1376,-1.14912,3.43476,0.18,9.50628e-13,0,1.35835e-11
17.1377,42.9554,-1.12963,3.43476,0.18,-1.29285e-13,0,-1.64088e-11
