min_x,max_x,min_y,max_y
13.2237,21.407,42.3698,51.7875
13.2159,21.3992,42.1648,51.891
13.2121,21.3954,41.9596,51.9944
13.2124,21.3957,41.7544,51.7892
13.2166,21.3999,41.5492,51.8927
13.2248,21.4081,41.3442,51.9962
13.237,21.4203,41.1394,51.7914
13.2532,21.4366,40.9348,51.8954
12.0391,21.4567,40.7306,48.9139
12.0633,21.4809,40.5268,48.7101
12.0914,21.5091,40.3235,48.8154
12.1235,21.5412,40.1209,48.9213
12.1595,21.5772,39.9188,48.7193
12.1995,21.6172,39.7176,48.8266
12.2434,21.6611,39.5171,48.9348
12.2912,21.7088,39.3175,48.7352
12.0343,21.7605,39.1189,48.8452
12.0898,21.816,38.9214,48.9562
12.1492,21.8754,38.725,48.7598
12.2123,21.9386,38.5297,48.8731
12.2793,22.0056,38.3358,48.9878
12.0415,22.0763,38.1431,48.7951
12.116,22.1508,37.9519,48.9125
12.1942,22.229,37.7622,48.7228
12.2761,22.3109,37.574,48.5346
12.053,22.3964,37.3875,48.3481
12.1422,22.4856,37.2027,48.1633
12.2349,22.5783,37.0196,47.9802
12.0226,22.6746,36.8384,47.799
12.1224,22.7744,36.6591,47.6197
12.2257,22.8777,36.4818,47.4424
12.0238,22.9844,36.3065,47.2671
12.134,23.0945,36.1334,47.094
12.2474,23.208,35.9624,46.923
12.3642,23.3248,35.7937,46.7543
12.4843,23.4448,35.6272,46.5878
12.6075,23.5681,35.4632,46.4238
12.734,23.6946,35.3016,46.2622
12.8635,23.8241,35.1424,46.103
12.9962,23.9568,34.9859,45.9465
13.1117,24.0723,34.8205,45.7811
13.2094,24.17,34.6454,45.606
13.3072,24.2678,34.4702,45.4308
13.4049,24.3655,34.2951,45.2557
13.5026,24.4632,34.1199,45.0805
13.6004,24.561,33.9448,44.9054
13.6981,24.6587,33.7696,44.7302
13.7958,24.7564,33.5945,44.5551
13.8936,24.8542,33.4193,44.3799
13.9913,24.9519,33.2442,44.2048
14.0891,25.0496,33.069,44.0296
14.1868,25.1474,32.8939,43.8545
14.2845,25.2451,32.7187,43.6793
14.3823,25.3429,32.5436,43.5042
14.48,25.4406,32.3684,43.329
14.5777,25.5383,32.1933,43.1539
14.6755,25.6361,32.0181,42.9787
14.7732,25.7338,31.843,42.8036
14.8709,25.8315,31.6678,42.6284
14.9687,25.9293,31.4927,42.4533
15.0664,26.027,31.3176,42.2781
