x,y,theta,v,phi,a,omega,jerk
16.5,50,-1.8314,1,0,0,0,10
16.5123,49.9575,-1.78809,1.01627,0.00220145,0.357332,5,10
16.5261,49.9141,-1.74554,1.04492,0.178701,0.714098,2.3033,10
16.5411,49.8695,-1.70055,1.08576,0.26,1.07031,4.62628e-08,10
16.5575,49.8231,-1.65465,1.13867,0.26,1.42598,3.78181e-10,10
16.5755,49.7748,-1.60938,1.20362,0.26,1.78113,4.20109e-10,10
16.5953,49.724,-1.56471,1.28054,0.26,2.13576,4.39711e-10,10
16.6169,49.6705,-1.52062,1.36939,0.26,2.48991,4.40652e-10,10
16.6407,49.614,-1.47711,1.47013,0.26,2.84357,4.26869e-10,10
16.6669,49.5541,-1.43416,1.58271,0.26,3.19679,4.02031e-10,10
16.6958,49.4906,-1.39179,1.7071,0.26,3.54956,3.69241e-10,10
16.7278,49.4231,-1.34998,1.84324,0.26,3.90192,3.30913e-10,10
16.7633,49.3515,-1.30873,1.99111,0.26,4.25389,2.88772e-10,10
16.8028,49.2755,-1.26806,2.15067,0.26,4.60548,2.43903e-10,10
16.8466,49.195,-1.22797,2.32189,0.26,4.95673,1.96824e-10,10
16.8953,49.1098,-1.18845,2.50474,0.26,5.30765,1.47551e-10,10
16.9494,49.0198,-1.14951,2.69918,0.26,5.65826,9.56127e-11,8.06222
17.0094,48.9249,-1.11115,2.9052,0.26,5.94076,3.46929e-11,-0.76401
17.0759,48.8251,-1.07335,3.12039,0.26,5.91399,-5.257e-11,-8.69698
17.1494,48.7204,-1.03612,3.33392,0.26,5.60925,-1.59694e-10,-10
17.2302,48.6114,-0.9995,3.53604,0.26,5.25869,-2.71241e-10,-10
17.3185,48.4986,-0.96355,3.72513,0.26,4.90796,-3.90068e-10,-10
17.4143,48.3828,-0.92833,3.90119,0.26,4.55708,-5.23124e-10,-10
17.5175,48.2648,-0.893885,4.06419,0.26,4.20608,-6.78477e-10,-10
17.628,48.1453,-0.860243,4.21413,0.26,3.85498,-8.66371e-10,-10
17.7456,48.0248,-0.827425,4.351,0.26,3.50382,-1.10067e-09,-10
17.8701,47.904,-0.795436,4.4748,0.26,3.15262,-1.40104e-09,-10
18.0011,47.7835,-0.764275,4.58551,0.26,2.8014,-1.79649e-09,-10
18.1384,47.6637,-0.733931,4.68313,0.26,2.45021,-2.33131e-09,-10
18.2815,47.5452,-0.704387,4.76766,0.26,2.09905,-3.07578e-09,-10
18.4301,47.4285,-0.675619,4.8391,0.26,1.74797,-4.14588e-09,-10
18.5837,47.3139,-0.647599,4.89745,0.26,1.39699,-5.74227e-09,-10
18.7418,47.2018,-0.620295,4.94271,0.26,1.04613,-8.23181e-09,-10
18.904,47.0926,-0.593671,4.97489,0.26,0.695436,-1.23324e-08,-10
19.0697,46.9865,-0.567689,4.99398,0.26,0.344922,-4.59614e-08,-6.75823
19.2385,46.8839,-0.542312,5,0.26,0.108117,-0.136935,-2.11838
19.4098,46.7849,-0.517499,5,0.255167,0.0338894,-0.475552,-0.664013
19.5833,46.6896,-0.493633,5,0.238381,0.0106227,-0.682051,-0.208137
19.7588,46.598,-0.471727,5,0.214307,0.00332972,-0.78657,-0.0652409
19.9361,46.5098,-0.452352,5,0.186544,0.00104371,-0.815896,-0.0204499
20.115,46.4247,-0.435739,5,0.157746,0.000327153,-0.792413,-0.00641008
20.295,46.3421,-0.421891,5,0.129776,0.000102547,-0.73408,-0.00200925
20.4761,46.2618,-0.410655,5,0.103866,3.21436e-05,-0.654889,-0.000629806
20.658,46.1833,-0.401787,5,0.0807504,1.00755e-05,-0.565455,-0.000197414
20.8405,46.1062,-0.394994,5,0.0607918,3.15818e-06,-0.473597,-6.188e-05
21.0234,46.0302,-0.389965,5,0.0440754,9.89941e-07,-0.384847,-1.93964e-05
21.2067,45.955,-0.386394,5,0.0304917,3.103e-07,-0.302896,-6.07986e-06
21.3902,45.8804,-0.383991,5,0.0198005,9.72647e-08,-0.229978,-1.90575e-06
21.5739,45.8061,-0.382496,5,0.0116831,3.0488e-08,-0.167194,-5.97365e-07
21.7577,45.7322,-0.381678,5,0.00578168,9.55666e-09,-0.114806,-1.87247e-07
21.9415,45.6583,-0.381343,5,0.00172943,2.99561e-09,-0.072467,-5.86942e-08
22.1254,45.5845,-0.38133,5,-0.000828403,9.38989e-10,-0.0394295,-1.8398e-08
22.3092,45.5107,-0.38151,5,-0.00222013,2.94331e-10,-0.0147005,-5.76728e-09
22.493,45.4369,-0.381785,5,-0.00273901,9.22483e-11,0.00283266,-1.80768e-09
22.6769,45.363,-0.382082,5,-0.00263902,2.89079e-11,0.0143102,-5.66425e-10
22.8607,45.2891,-0.38235,5,-0.00213392,9.06062e-12,0.0208364,-1.77537e-10
23.0445,45.2151,-0.382558,5,-0.00139847,2.83983e-12,0.023439,-5.57362e-11
23.2282,45.1412,-0.382689,5,-0.000571153,8.86862e-13,0.023048,-1.72219e-11
23.412,45.0671,-0.382738,5,0.000242361,2.83414e-13,0.0204891,-5.49842e-12
23.5957,44.9931,-0.382708,5,0.000965556,9.07524e-14,0.016489,-1.9774e-12
23.7795,44.9191,-0.382611,5,0.00154756,2.14652e-14,0.011688,-6.55994e-13
23.9633,44.8451,-0.38246,5,0.0019601,-1.52053e-15,0.00665858,-2.29981e-13
24.1471,44.7711,-0.382272,5,0.00219513,-9.57894e-15,0.00192668,1.64405e-13
24.3308,44.6972,-0.382064,5,0.00226314,-3.81825e-15,-0.00200676,7.14662e-14
24.5146,44.6233,-0.381853,5,0.0021923,-1.31411e-15,-0.00464501,6.97125e-14
24.6985,44.5494,-0.381653,5,0.00202835,1.12858e-15,-0.00624214,4.87875e-14
24.8823,44.4755,-0.38147,5,0.00180802,2.83807e-15,-0.00702978,-4.49996e-14
25.0661,44.4017,-0.381309,5,0.0015599,1.2613e-15,-0.00721173,-2.65467e-13
25.25,44.3279,-0.381172,5,0.00130535,-8.04053e-15,-0.00696178,2.88851e-14
25.4339,44.2542,-0.381059,5,0.00105962,-7.02841e-15,-0.00642369,9.69432e-14
25.6177,44.1804,-0.380968,5,0.000832887,-3.63157e-15,-0.00571278,6.69674e-14
25.8016,44.1067,-0.380897,5,0.000631245,-1.28506e-15,-0.00491849,6.48022e-15
25.9855,44.033,-0.380844,5,0.000457639,-1.058e-15,-0.00410756,-8.77709e-14
26.1694,43.9592,-0.380807,5,0.000312657,-4.13345e-15,-0.00332739,-8.4521e-15
26.3532,43.8855,-0.380782,5,0.000195211,-4.42961e-15,-0.00260945,3.52567e-14
26.5371,43.8118,-0.380767,5,0.000103107,-3.19423e-15,-0.00197242,2.84713e-14
26.721,43.7381,-0.38076,5,3.34868e-05,-2.19661e-15,-0.0014251,1.03788e-15
26.9049,43.6644,-0.380759,5,-1.68145e-05,-2.16024e-15,-0.000968948,7.37698e-15
27.0888,43.5907,-0.380762,5,-5.1015e-05,-1.90176e-15,-0.000600203,2.30602e-14
27.2727,43.517,-0.380768,5,-7.22001e-05,-1.09374e-15,-0.000311683,2.99079e-14
27.4566,43.4433,-0.380775,5,-8.32015e-05,-4.57819e-17,-9.41892e-05,2.96321e-14
27.6405,43.3696,-0.380783,5,-8.6526e-05,9.92512e-16,6.24088e-05,3.68119e-14
27.8243,43.2959,-0.380791,5,-8.43232e-05,2.28238e-15,0.000168356,4.98083e-14
28.0082,43.2222,-0.380799,5,-7.83808e-05,4.02764e-15,0.000233445,3.6668e-14
28.1921,43.1485,-0.380806,5,-7.0141e-05,5.31247e-15,0.000266638,1.30992e-14
28.376,43.0748,-0.380812,5,-6.07296e-05,5.77146e-15,0.000275853,-6.52459e-15
28.5599,43.0011,-0.380818,5,-5.09929e-05,5.54284e-15,0.000267866,-9.05748e-15
28.7438,42.9274,-0.380822,5,-4.15382e-05,5.22547e-15,0.000248298,1.1931e-14
28.9277,42.8537,-0.380826,5,-3.27741e-05,5.64353e-15,0.000221678,3.28924e-14
29.1115,42.78,-0.380828,5,-2.49496e-05,6.79606e-15,0.00019153,1.94906e-14
29.2954,42.7062,-0.380831,5,-1.81893e-05,7.479e-15,0.000160497,-9.03666e-15
29.4793,42.6325,-0.380832,5,-1.25243e-05,7.16236e-15,0.000130469,-2.98139e-14
29.6632,42.5588,-0.380833,5,-7.91919e-06,6.1177e-15,0.00010271,-3.74067e-14
29.8471,42.4851,-0.380834,5,-4.29386e-06,4.80699e-15,7.79851e-05,-4.14591e-14
30.031,42.4114,-0.380834,5,-1.54126e-06,3.35428e-15,5.66672e-05,-4.99564e-14
30.2148,42.3377,-0.380834,5,4.58901e-07,1.60383e-15,3.88394e-05,-5.84573e-14
30.3987,42.264,-0.380834,5,1.8298e-06,-4.44482e-16,2.43771e-05,-5.72355e-14
30.5826,42.1903,-0.380834,5,2.69023e-06,-2.44999e-15,1.30176e-05,-4.32131e-14
30.7665,42.1165,-0.380833,5,3.1497e-06,-3.96415e-15,4.41549e-06,-3.02672e-14
30.9504,42.0428,-0.380833,5,3.30555e-06,-5.0247e-15,-1.81419e-06,-2.42697e-14
31.1343,41.9691,-0.380833,5,3.24152e-06,-5.8751e-15,-6.06385e-06,-1.69089e-14
31.3182,41.8954,-0.380833,5,3.02749e-06,-6.46758e-15,-8.71063e-06,2.78758e-15
31.502,41.8217,-0.380832,5,2.72003e-06,-6.3699e-15,-1.01013e-05,2.30939e-14
31.6859,41.748,-0.380832,5,2.36349e-06,-5.5607e-15,-1.05433e-05,2.28779e-14
31.8698,41.6743,-0.380832,5,1.99135e-06,-4.75907e-15,-1.03006e-05,-3.88016e-15
32.0537,41.6006,-0.380832,5,1.62777e-06,-4.89503e-15,-9.59309e-06,4.46411e-15
32.2376,41.5268,-0.380831,5,1.28917e-06,-4.73861e-15,-8.59843e-06,3.36588e-14
32.4215,41.4531,-0.380831,5,9.85676e-07,-3.55922e-15,-7.45548e-06,5.04776e-14
32.6053,41.3794,-0.380831,5,7.22523e-07,-1.79051e-15,-6.26883e-06,3.78724e-14
32.7892,41.3057,-0.380831,5,5.01255e-07,-4.63481e-16,-5.11372e-06,3.93542e-14
32.9731,41.232,-0.380831,5,3.20758e-07,9.1547e-16,-4.04096e-06,3.49228e-14
33.157,41.1583,-0.380831,5,1.78126e-07,2.13915e-15,-3.08168e-06,5.08754e-14
33.3409,41.0846,-0.380831,5,6.93535e-08,3.92179e-15,-2.25167e-06,4.13894e-14
33.5248,41.0109,-0.380831,5,-1.01227e-08,5.37206e-15,-1.55518e-06,1.76131e-14
33.7086,40.9372,-0.380831,5,-6.50153e-08,5.98921e-15,-9.882e-07,-9.24931e-16
33.8925,40.8634,-0.380831,5,-9.98953e-08,5.9568e-15,-5.41163e-07,-1.66815e-14
34.0764,40.7897,-0.380831,5,-1.18997e-07,5.37229e-15,-2.01132e-07,-2.45793e-14
34.2603,40.716,-0.380831,5,-1.26096e-07,4.51105e-15,4.65084e-08,-3.12437e-14
34.4442,40.6423,-0.380831,5,-1.24454e-07,3.41628e-15,2.16776e-07,-3.47132e-14
34.6281,40.5686,-0.380831,5,-1.16803e-07,2.19995e-15,3.24189e-07,-3.74923e-14
34.8119,40.4949,-0.380831,5,-1.0536e-07,8.86237e-16,3.82156e-07,-4.52705e-14
34.9958,40.4212,-0.380831,5,-9.18712e-08,-7.00018e-16,4.0261e-07,-4.58509e-14
35.1797,40.3475,-0.380831,5,-7.76604e-08,-2.30661e-15,3.95836e-07,-3.58673e-14
35.3636,40.2737,-0.380831,5,-6.36888e-08,-3.56338e-15,3.70426e-07,-2.77138e-14
35.5475,40.2,-0.380831,5,-5.0614e-08,-4.53446e-15,3.33349e-07,-1.81477e-14
35.7314,40.1263,-0.380831,5,-3.88479e-08,-5.17035e-15,2.90072e-07,-1.11448e-14
35.9152,40.0526,-0.380831,5,-2.86094e-08,-5.56086e-15,2.44733e-07,-1.59816e-14
36.0991,39.9789,-0.380831,5,-1.99711e-08,-6.12084e-15,2.00325e-07,-2.22461e-14
36.283,39.9052,-0.380831,5,-1.29003e-08,-6.90034e-15,1.58887e-07,-1.87199e-14
36.4669,39.8315,-0.380831,5,-7.29213e-09,-7.55627e-15,1.21686e-07,-9.34534e-15
36.6508,39.7578,-0.380831,5,-2.99704e-09,-7.88373e-15,8.93823e-08,-5.54426e-15
36.8347,39.684,-0.380831,5,1.57844e-10,-8.078e-15,6.21829e-08,3.88269e-15
37.0186,39.6103,-0.380831,5,2.35269e-09,-7.94195e-15,3.99642e-08,1.92305e-14
37.2024,39.5366,-0.380831,5,3.76329e-09,-7.26812e-15,2.23799e-08,2.76154e-14
37.3863,39.4629,-0.380831,5,4.55322e-09,-6.30049e-15,8.9465e-09,3.39414e-14
37.5702,39.3892,-0.380831,5,4.869e-09,-5.1112e-15,-8.90277e-10,3.74005e-14
37.7541,39.3155,-0.380831,5,4.83758e-09,-3.80071e-15,-7.70479e-09,2.35384e-14
37.938,39.2418,-0.380831,5,4.56563e-09,-2.97593e-15,-1.20555e-08,3.67008e-14
38.1219,39.1681,-0.380831,5,4.14011e-09,-1.68995e-15,-1.44608e-08,4.61691e-14
38.3057,39.0943,-0.380831,5,3.62969e-09,-7.22132e-17,-1.53835e-08,7.6259e-15
38.4896,39.0206,-0.380831,5,3.08671e-09,1.94995e-16,-1.52242e-08,-3.65247e-14
38.6735,38.9469,-0.380831,5,2.54934e-09,-1.08481e-15,-1.43186e-08,-3.91823e-14
38.8574,38.8732,-0.380831,5,2.04395e-09,-2.45774e-15,-1.29398e-08,-1.46202e-14
39.0413,38.7995,-0.380831,5,1.58721e-09,-2.97003e-15,-1.13032e-08,1.99792e-14
39.2252,38.7258,-0.380831,5,1.18825e-09,-2.26996e-15,-9.57211e-09,3.99622e-14
39.409,38.6521,-0.380831,5,8.50389e-10,-8.69706e-16,-7.86572e-09,1.81087e-14
39.5929,38.5784,-0.380831,5,5.72757e-10,-2.35188e-16,-6.26566e-09,4.1689e-15
39.7768,38.5046,-0.380831,5,3.516e-10,-8.91117e-17,-4.82337e-09,3.27864e-14
39.9607,38.4309,-0.380831,5,1.81352e-10,1.05971e-15,-3.56646e-09,6.11945e-14
40.1446,38.3572,-0.380831,5,5.54679e-11,3.20393e-15,-2.50449e-09,4.22121e-14
40.3285,38.2835,-0.380831,5,-3.29319e-11,4.68303e-15,-1.63396e-09,2.7631e-15
40.5123,38.2098,-0.380831,5,-9.06052e-11,4.77984e-15,-9.4242e-10,-3.35247e-14
40.6962,38.1361,-0.380831,5,-1.23869e-10,3.60515e-15,-4.11829e-10,-5.85666e-14
40.8801,38.0624,-0.380831,5,-1.38406e-10,1.55301e-15,-2.11999e-11,-7.15103e-14
41.064,37.9887,-0.380831,5,-1.39154e-10,-9.52675e-16,2.51416e-10,-6.42181e-14
41.2479,37.915,-0.380831,5,-1.3028e-10,-3.20285e-15,4.27492e-10,-1.82457e-14
41.4318,37.8412,-0.380831,5,-1.15191e-10,-3.84217e-15,5.27048e-10,3.89429e-14
41.6157,37.7675,-0.380831,5,-9.65877e-11,-2.47762e-15,5.68043e-10,7.14598e-14
41.7995,37.6938,-0.380831,5,-7.65377e-11,2.62928e-17,5.6606e-10,5.02484e-14
41.9834,37.6201,-0.380831,5,-5.65577e-11,1.78697e-15,5.34213e-10,1.6338e-14
42.1673,37.5464,-0.380831,5,-3.77018e-11,2.35945e-15,4.83206e-10,-1.31733e-14
42.3512,37.4727,-0.380831,5,-2.06463e-11,1.89786e-15,4.21505e-10,-4.14379e-14
42.5351,37.399,-0.380831,5,-5.76866e-12,4.45903e-16,3.55571e-10,-5.73077e-14
42.719,37.3253,-0.380831,5,6.78176e-12,-1.56213e-15,2.90131e-10,-1.90617e-14
42.9028,37.2515,-0.380831,5,1.70224e-11,-2.23004e-15,2.28457e-10,4.31889e-14
43.0867,37.1778,-0.380831,5,2.50862e-11,-7.16725e-16,1.72632e-10,8.47209e-14
43.2706,37.1041,-0.380831,5,3.11795e-11,2.25186e-15,1.23803e-10,6.80541e-14
43.4545,37.0304,-0.380831,5,3.55493e-11,4.63644e-15,8.24071e-11,2.71658e-14
43.6384,36.9567,-0.380831,5,3.8458e-11,5.58831e-15,4.83597e-11,-8.09403e-15
43.8223,36.883,-0.380831,5,4.01649e-11,5.3047e-15,2.12211e-11,-2.54097e-14
44.0061,36.8093,-0.380831,5,4.0914e-11,4.41436e-15,3.26495e-13,-2.72767e-14
44.19,36.7356,-0.380831,5,4.09255e-11,3.4586e-15,-1.511e-11,-2.21754e-14
44.3739,36.6618,-0.380831,5,4.03922e-11,2.68158e-15,-2.59165e-11,-1.86425e-14
44.5578,36.5881,-0.380831,5,3.94774e-11,2.02836e-15,-3.29055e-11,-2.16305e-14
44.7417,36.5144,-0.380831,5,3.83159e-11,1.27044e-15,-3.68347e-11,-2.50143e-14
44.9256,36.4407,-0.380831,5,3.70158e-11,3.93951e-16,-3.83828e-11,-1.99934e-14
45.1094,36.367,-0.380831,5,3.5661e-11,-3.0661e-16,-3.8136e-11,-5.65489e-15
45.2933,36.2933,-0.380831,5,3.43149e-11,-5.04754e-16,-3.65844e-11,1.53418e-14
45.4772,36.2196,-0.380831,5,3.30236e-11,3.28155e-17,-3.41246e-11,3.58298e-14
45.6611,36.1459,-0.380831,5,3.18192e-11,1.28827e-15,-3.10672e-11,4.80462e-14
45.845,36.0721,-0.380831,5,3.07226e-11,2.97179e-15,-2.76469e-11,4.40187e-14
