x,y,z,w
16.5,50,-1.8314,1
16.4502,49.8057,-1.81191,1
16.4042,49.6105,-1.79241,1
16.362,49.4144,-1.77292,1
16.3237,49.2175,-1.75342,1
16.2892,49.0199,-1.73393,1
16.2586,48.8217,-1.71444,1
16.2318,48.623,-1.69494,1
16.2089,48.4237,-1.67545,1
16.1899,48.224,-1.65596,1
16.1748,48.024,-1.63646,1
16.1636,47.8238,-1.61697,1
16.1562,47.6233,-1.59747,1
16.1529,47.4228,-1.57798,1
16.1534,47.2222,-1.55849,1
16.1578,47.0217,-1.53899,1
16.1661,46.8213,-1.5195,1
16.1784,46.6211,-1.50001,1
16.1945,46.4212,-1.48051,1
16.2145,46.2216,-1.46102,1
16.2384,46.0225,-1.44152,1
16.2662,45.8239,-1.42203,1
16.2979,45.6258,-1.40254,1
16.3334,45.4284,-1.38304,1
16.3728,45.2317,-1.36355,1
16.4159,45.0359,-1.34406,1
16.4629,44.8409,-1.32456,1
16.5137,44.6468,-1.30507,1
16.5683,44.4538,-1.28557,1
16.6266,44.2619,-1.26608,1
16.6886,44.0712,-1.24659,1
16.7544,43.8817,-1.22709,1
16.8238,43.6935,-1.2076,1
16.8969,43.5068,-1.18811,1
16.9736,43.3214,-1.16861,1
17.0539,43.1376,-1.14912,1
17.1377,42.9554,-1.12963,1
17.2252,42.7749,-1.11013,1
17.3161,42.5961,-1.09064,1
17.4104,42.4192,-1.07114,1
17.5078,42.2438,-1.06182,1
17.6055,42.0686,-1.06182,1
17.7033,41.8935,-1.06182,1
17.801,41.7183,-1.06182,1
17.8987,41.5432,-1.06182,1
17.9965,41.368,-1.06182,1
18.0942,41.1929,-1.06182,1
18.1919,41.0178,-1.06182,1
18.2897,40.8426,-1.06182,1
18.3874,40.6675,-1.06182,1
18.4851,40.4923,-1.06182,1
18.5829,40.3172,-1.06182,1
18.6806,40.142,-1.06182,1
18.7784,39.9669,-1.06182,1
18.8761,39.7917,-1.06182,1
18.9738,39.6166,-1.06182,1
19.0716,39.4414,-1.06182,1
19.1693,39.2663,-1.06182,1
19.267,39.0911,-1.06182,1
19.3648,38.916,-1.06182,1
19.4625,38.7408,-1.06182,1
19.5602,38.5657,-1.06182,1
19.658,38.3905,-1.06182,1
19.7557,38.2154,-1.06182,1
19.8534,38.0402,-1.06182,1
19.9512,37.8651,-1.06182,1
20.0489,37.6899,-1.06182,1
20.1467,37.5148,-1.06182,1
20.2444,37.3396,-1.06182,1
20.3421,37.1645,-1.06182,1
20.4399,36.9893,-1.06182,1
20.5376,36.8142,-1.06182,1
20.6353,36.639,-1.06182,1
20.7331,36.4639,-1.06182,1
20.8308,36.2887,-1.06182,1
20.9285,36.1136,-1.06182,1
21.0263,35.9384,-1.06182,1
21.124,35.7633,-1.06182,1
21.2217,35.5881,-1.06182,1
21.3195,35.413,-1.06182,1
21.4172,35.2378,-1.06182,1
21.515,35.0627,-1.06182,1
21.6127,34.8875,-1.06182,1
21.7104,34.7124,-1.06182,1
21.8082,34.5372,-1.06182,1
21.9059,34.3621,-1.06182,1
22.0036,34.1869,-1.06182,1
22.1014,34.0118,-1.06182,1
22.1991,33.8366,-1.06182,1
22.2968,33.6615,-1.06182,1
22.3946,33.4863,-1.06182,1
22.4923,33.3112,-1.06182,1
22.5901,33.136,-1.06182,1
22.6878,32.9609,-1.06182,1
22.7855,32.7857,-1.06182,1
22.8833,32.6106,-1.06182,1
22.981,32.4354,-1.06182,1
23.0787,32.2603,-1.06182,1
23.1765,32.0852,-1.06182,1
23.2742,31.91,-1.06182,1
23.3719,31.7349,-1.06182,1
23.4697,31.5597,-1.06182,1
23.5674,31.3846,-1.06182,1
23.6651,31.2094,-1.06182,1
23.7629,31.0343,-1.06182,1
23.8606,30.8591,-1.06182,1
23.9584,30.684,-1.06182,1
24.0561,30.5088,-1.06182,1
24.1538,30.3337,-1.06182,1
24.2516,30.1585,-1.06182,1
24.3493,29.9834,-1.06182,1
24.447,29.8082,-1.06182,1
24.5448,29.6331,-1.06182,1
24.6425,29.4579,-1.06182,1
24.7402,29.2828,-1.06182,1
24.838,29.1076,-1.06182,1
24.9357,28.9325,-1.06182,1
25.0334,28.7573,-1.06182,1
25.1312,28.5822,-1.06182,1
25.2289,28.407,-1.06182,1
25.3267,28.2319,-1.06182,1
25.4244,28.0567,-1.06182,1
25.5221,27.8816,-1.06182,1
25.6199,27.7064,-1.06182,1
25.7176,27.5313,-1.06182,1
25.8153,27.3561,-1.06182,1
25.9131,27.181,-1.06182,1
26.0108,27.0058,-1.06182,1
26.1085,26.8307,-1.06182,1
26.2063,26.6555,-1.06182,1
26.304,26.4804,-1.06182,1
26.4018,26.3052,-1.06182,1
26.4995,26.1301,-1.06182,1
26.5972,25.9549,-1.06182,1
26.695,25.7798,-1.06182,1
26.7927,25.6046,-1.06182,1
26.8904,25.4295,-1.06182,1
26.9882,25.2543,-1.06182,1
27.0859,25.0792,-1.06182,1
27.1836,24.904,-1.06182,1
27.2814,24.7289,-1.06182,1
27.3791,24.5537,-1.06182,1
27.4768,24.3786,-1.06182,1
27.5746,24.2034,-1.06182,1
27.6723,24.0283,-1.06182,1
27.7701,23.8531,-1.06182,1
27.8678,23.678,-1.06182,1
27.9655,23.5028,-1.06182,1
28.0633,23.3277,-1.06182,1
28.161,23.1526,-1.06182,1
28.2587,22.9774,-1.06182,1
28.3565,22.8023,-1.06182,1
28.4542,22.6271,-1.06182,1
28.5519,22.452,-1.06182,1
28.6497,22.2768,-1.06182,1
28.7474,22.1017,-1.06182,1
28.8451,21.9265,-1.06182,1
28.9429,21.7514,-1.06182,1
29.0406,21.5762,-1.06182,1
29.1384,21.4011,-1.06182,1
29.2362,21.226,-1.05621,1
29.3366,21.0524,-1.03671,1
29.4404,20.8807,-1.01722,1
29.5475,20.7112,-0.997724,1
29.6579,20.5437,-0.97823,1
29.7716,20.3784,-0.958737,1
29.8884,20.2154,-0.939243,1
30.0084,20.0547,-0.919749,1
30.1315,19.8963,-0.900255,1
30.2576,19.7404,-0.880762,1
30.3868,19.587,-0.861268,1
30.519,19.4361,-0.841774,1
30.654,19.2878,-0.822281,1
30.7919,19.1422,-0.802787,1
30.9327,18.9993,-0.783293,1
31.0762,18.8591,-0.763799,1
31.2224,18.7218,-0.744306,1
31.3712,18.5874,-0.724812,1
31.5227,18.4559,-0.705318,1
31.6766,18.3274,-0.685825,1
31.8331,18.2019,-0.666331,1
31.992,18.0794,-0.646837,1
32.1532,17.9601,-0.627343,1
32.3167,17.844,-0.60785,1
32.4824,17.731,-0.588356,1
32.6504,17.6214,-0.568862,1
32.8204,17.515,-0.549369,1
32.9925,17.4119,-0.529875,1
33.1665,17.3122,-0.510381,1
33.3425,17.216,-0.490887,1
33.5203,17.1231,-0.471394,1
33.6998,17.0338,-0.4519,1
33.8811,16.948,-0.432406,1
33.8811,16.948,-0.432406,1
33.6987,17.03,-0.412968,-1
33.5148,17.1085,-0.39353,-1
