x,y,z,w
16.5,50,-1.8314,0
16.4999,50,-1.82674,0.000553294
16.4998,49.9999,-1.8221,0.0170572
16.4995,49.9989,-1.81745,0.0482441
16.4987,49.9962,-1.81277,0.0928595
16.4974,49.9909,-1.808,0.149669
16.4952,49.9825,-1.80304,0.217466
16.4922,49.9701,-1.79779,0.295078
16.4883,49.9534,-1.79216,0.381373
16.4834,49.9317,-1.78605,0.475267
16.4774,49.9047,-1.7794,0.575724
16.4703,49.8719,-1.77216,0.681763
16.4623,49.833,-1.76436,0.792462
16.4534,49.7877,-1.75606,0.906951
16.4436,49.7358,-1.74723,1.02442
16.433,49.6772,-1.73788,1.1441
16.4219,49.6115,-1.72798,1.26529
16.4103,49.5388,-1.71755,1.38734
16.3984,49.4589,-1.70657,1.50963
16.3864,49.3718,-1.69504,1.63161
16.3746,49.2776,-1.68299,1.75277
16.3631,49.1763,-1.6704,1.87263
16.3522,49.0678,-1.65729,1.99079
16.3421,48.9524,-1.64368,2.10685
16.3331,48.8301,-1.62957,2.22049
16.3254,48.7012,-1.61499,2.33139
16.3193,48.5656,-1.59994,2.43931
16.3151,48.4237,-1.58445,2.54401
16.313,48.2757,-1.56853,2.64531
16.3133,48.1218,-1.5522,2.74305
16.3162,47.9622,-1.53549,2.83709
16.3219,47.7972,-1.51841,2.92734
16.3308,47.6271,-1.50099,3.01374
16.3429,47.4522,-1.48324,3.09623
16.3586,47.2727,-1.46518,3.17479
16.378,47.089,-1.44684,3.24942
16.4013,46.9014,-1.42825,3.32015
16.4286,46.7101,-1.40941,3.38701
16.4602,46.5156,-1.39035,3.45005
16.4962,46.3181,-1.37109,3.50935
16.5366,46.118,-1.35164,3.565
16.5816,45.9155,-1.33204,3.61707
16.6313,45.711,-1.31227,3.66569
16.6857,45.5048,-1.29235,3.71095
16.745,45.2972,-1.27243,3.75297
16.8091,45.0885,-1.25285,3.79188
16.878,44.8789,-1.23393,3.82779
16.9515,44.6687,-1.21591,3.86084
17.0295,44.458,-1.19896,3.89115
17.1117,44.2471,-1.18323,3.91885
17.1978,44.036,-1.16879,3.94406
17.2875,43.8248,-1.15568,3.96691
17.3805,43.6135,-1.14393,3.98752
17.4765,43.4023,-1.1335,4.00602
17.5751,43.1912,-1.12437,4.02251
17.6761,42.9801,-1.11646,4.03712
17.7791,42.769,-1.10972,4.04997
17.8838,42.5579,-1.10405,4.06115
17.9901,42.3469,-1.09937,4.07078
18.0975,42.1359,-1.09558,4.07897
18.206,41.9248,-1.0926,4.08581
18.3154,41.7137,-1.09034,4.0914
18.4253,41.5026,-1.08869,4.09585
18.5357,41.2915,-1.08758,4.09925
18.6464,41.0803,-1.08694,4.10169
18.7574,40.869,-1.08667,4.10325
18.8684,40.6577,-1.08672,4.10403
18.9795,40.4463,-1.08703,4.10411
19.0904,40.2349,-1.08754,4.10357
19.2013,40.0235,-1.08819,4.10249
19.312,39.812,-1.08896,4.10095
19.4225,39.6006,-1.0898,4.09901
19.5327,39.3891,-1.09068,4.09675
19.6428,39.1777,-1.09158,4.09424
19.7525,38.9663,-1.09247,4.09155
19.862,38.7549,-1.09333,4.08873
19.9712,38.5436,-1.09417,4.08585
20.0802,38.3324,-1.09495,4.08297
20.189,38.1212,-1.09569,4.08014
20.2975,37.9101,-1.09637,4.07741
20.4058,37.699,-1.09699,4.07484
20.5139,37.488,-1.09754,4.07247
20.6218,37.2771,-1.09804,4.07036
20.7295,37.0663,-1.09849,4.06853
20.8371,36.8554,-1.09887,4.06704
20.9446,36.6447,-1.09921,4.06592
21.052,36.4339,-1.09949,4.06521
21.1593,36.2231,-1.09974,4.06493
21.2666,36.0124,-1.09994,4.06513
21.3738,35.8016,-1.10011,4.06583
21.481,35.5907,-1.10024,4.06705
21.5882,35.3798,-1.10035,4.06882
21.6954,35.1688,-1.10044,4.07116
21.8027,34.9576,-1.10051,4.07408
21.91,34.7463,-1.10055,4.07761
22.0175,34.5347,-1.10059,4.08175
22.125,34.323,-1.10062,4.08653
22.2326,34.111,-1.10063,4.09193
22.3404,33.8988,-1.10065,4.09798
22.4483,33.6862,-1.10065,4.10467
22.5564,33.4733,-1.10066,4.11201
22.6647,33.26,-1.10067,4.12
22.7732,33.0462,-1.10068,4.12862
22.882,32.8321,-1.10069,4.13788
22.9909,32.6174,-1.1007,4.14777
23.1002,32.4022,-1.10073,4.15827
23.2097,32.1865,-1.10076,4.16937
23.3195,31.9702,-1.10079,4.18106
23.4296,31.7533,-1.10084,4.19331
23.54,31.5358,-1.1009,4.2061
23.6507,31.3176,-1.10098,4.21942
23.7617,31.0987,-1.10106,4.23323
23.8732,30.879,-1.10117,4.24751
23.9849,30.6586,-1.10129,4.26222
24.097,30.4375,-1.10144,4.27733
24.2095,30.2155,-1.10161,4.29282
24.3224,29.9927,-1.10182,4.30862
24.4356,29.7691,-1.10205,4.32472
24.5492,29.5446,-1.10232,4.34106
